PFid	pfam_name	Aaoar1	Aciri1_meta	Altal1	Altbr1	Amnli1	Aplpr1	Aspnid1	Aulhe2	Aurpu_var_mel1	Aurpu_var_nam1	Aurpu_var_pul1	Aurpu_var_sub1	Bauco1	Bimnz1	Botci1	Botdo1_1	Bysci1	Cenge3	Cerzm1	Clael1	Clafu1	Cocca1	CocheC5_3	Cocim1	Coclu2	Cocmi1	Cocsa1	Cocvi1	Corca1	Cucbe1	Decga1	Delco1	Didex1	Disac1	Dotse1	Dotsy1	Erebi1	Fusgr1	Glost2	Hyspu1_1	Karrh1	Lenfl1	Lepmu1	Leppa1	Linin1	Lizem1	Lopma1	Lopmy1	Macan1	Macph1	Maseb1	Melpu1	Micmi1	Mycfi2	Mycgr3	Myrdu1	Mytre1	Neopa1	Neucr2	Ophdi1	Parsp1	Patat1	Photr1	Phycit1	Pieho1_1	Plesi1	Polci1	Polfu1	Psehy1	Pyrco1	Pyrsp1	Pyrtr1	Pyrtt1	Rhili1	Rhyru1_1	Sacpr1	Sclsc1	Sepmu1	Seppo1	Setho1	Settu1	Spofi1	Stano2	Stasp1	Ternu1	Totfu1	Trepe1	Tribi1	Tryvi1	Tubme1	Venin1	Venpi1	Veren1	Wesor1	Zasce1	Zoprh1	Zymar1	Zymps1
PF00059.16	Lectin_C	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PF00061.18	Lipocalin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00062.15	Lys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00063.16	Myosin_head	4	5	4	7	5	4	5	3	4	4	4	4	4	4	5	5	5	4	5	4	5	5	5	5	4	4	4	4	4	4	4	5	4	4	5	5	4	5	4	5	4	4	7	4	4	4	5	4	4	5	4	5	3	5	5	4	5	5	5	4	4	4	4	4	5	5	5	4	5	5	4	5	5	4	5	4	5	4	5	4	4	4	5	4	4	5	4	4	5	6	5	4	5	4	4	4	5	5
PF00067.17	p450	138	67	127	89	138	96	115	63	57	59	62	72	56	162	124	265	185	101	92	105	129	146	161	44	107	127	131	141	239	98	72	98	85	75	83	87	65	113	156	166	164	197	65	153	158	95	187	136	78	248	97	194	71	97	78	59	145	215	41	156	149	62	111	73	19	125	58	160	109	48	145	105	102	155	204	67	93	79	67	124	135	58	123	168	74	65	193	36	131	26	86	83	133	68	176	239	70	73
PF00069.20	Pkinase	179	100	135	95	242	116	111	125	120	130	129	124	100	173	99	151	257	253	144	125	132	121	128	166	111	115	124	119	168	197	143	115	120	127	116	152	115	121	207	163	139	206	128	163	186	181	169	196	135	120	138	213	122	125	133	112	244	105	142	185	131	146	154	104	109	126	117	169	177	102	188	123	123	122	142	110	123	129	128	153	126	115	122	154	139	144	337	95	135	99	142	118	163	135	132	292	150	144
PF00070.22	Pyr_redox	19	17	17	11	22	14	20	16	18	18	14	15	17	20	22	27	21	15	21	15	22	14	19	12	19	14	14	14	23	18	16	14	15	15	19	13	19	26	18	18	21	22	15	20	19	17	23	22	16	20	14	23	19	16	15	19	21	17	15	19	21	14	15	15	10	15	17	21	12	11	22	15	13	30	22	14	15	17	15	18	15	12	17	19	17	20	23	12	19	11	20	25	22	11	35	25	18	17
PF00071.17	Ras	35	36	37	30	36	34	34	35	35	34	35	34	34	37	31	34	38	37	35	34	39	36	37	35	36	36	36	36	36	37	35	34	35	33	35	36	34	38	38	37	35	36	35	46	40	36	37	44	35	33	34	37	34	37	34	34	52	31	42	38	34	32	34	33	34	34	35	36	33	37	36	35	34	37	31	34	34	35	35	35	35	35	33	36	36	42	41	35	34	35	40	37	37	35	39	47	33	34
PF00072.19	Response_reg	22	15	27	21	24	18	18	23	38	36	46	40	17	20	19	26	19	15	19	25	21	25	27	8	24	25	25	25	21	23	23	15	27	19	25	25	9	18	22	18	23	22	22	22	21	23	20	24	24	21	22	22	24	20	22	25	23	11	17	28	27	15	24	18	10	23	20	18	16	16	28	25	26	14	19	19	22	22	21	25	25	19	22	32	21	31	19	14	13	12	32	30	17	14	23	16	23	23
PF00075.19	RNase_H	2	2	2	2	2	8	10	4	2	0	2	1	4	2	4	16	4	0	1	5	6	0	10	1	0	0	9	0	3	4	5	1	5	1	4	3	3	1	2	4	6	2	4	2	8	1	5	9	6	20	4	1	13	6	4	1	6	9	4	5	1	8	4	6	3	4	2	5	4	2	3	2	5	5	2	2	61	2	1	5	5	3	6	1	2	6	4	1	8	5	4	4	2	2	0	0	7	6
PF00076.17	RRM_1	60	62	56	55	60	68	67	61	63	64	67	63	57	62	60	64	62	61	62	58	71	60	59	66	60	59	58	60	62	65	61	65	61	58	66	65	63	60	66	65	62	66	55	64	60	62	60	68	59	59	59	62	63	61	57	61	64	57	74	61	62	61	59	64	56	63	58	57	63	66	60	58	60	64	65	60	60	61	61	61	59	62	59	62	57	64	68	60	62	63	57	56	63	61	61	61	58	60
PF00077.15	RVP	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PF00078.22	RVT_1	0	2	0	4	0	3	23	1	2	1	1	1	0	2	21	9	1	2	0	0	1	1	1	1	0	1	6	1	1	2	0	1	1	0	0	3	0	2	2	3	3	1	2	1	1	0	2	0	0	9	2	5	0	0	0	1	1	2	2	1	2	2	1	1	4	1	0	3	1	6	2	1	26	2	3	0	74	0	1	0	4	1	2	2	0	2	3	1	0	1	3	0	2	1	0	6	2	1
PF00079.15	Serpin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PF00080.15	Sod_Cu	4	3	4	2	3	3	3	4	3	3	3	3	3	3	3	3	4	3	3	4	3	4	4	3	4	4	4	4	3	4	3	3	3	0	3	4	3	3	3	3	4	4	3	3	3	3	4	4	4	3	4	3	6	3	3	4	3	3	5	4	3	3	5	3	2	3	2	4	3	4	3	4	4	6	3	3	3	4	4	4	3	3	4	5	4	5	4	5	4	3	5	5	3	3	2	4	2	1
PF00081.17	Sod_Fe_N	2	2	2	2	2	2	2	2	1	1	2	1	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	3	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
PF00082.17	Peptidase_S8	18	11	20	11	21	12	6	21	10	8	11	8	10	27	10	23	22	20	17	12	20	16	16	21	15	15	13	17	18	12	15	9	11	11	12	13	10	30	15	19	20	18	12	17	15	11	20	15	12	17	14	25	15	17	17	109	19	17	11	15	23	7	16	9	4	17	12	19	17	13	16	15	14	12	12	14	10	13	10	17	15	10	16	18	12	24	16	10	32	6	23	15	14	14	28	25	17	18
PF00083.19	Sugar_tr	247	196	177	125	158	129	188	118	151	157	177	166	117	179	146	224	169	133	128	146	160	149	148	68	150	140	138	147	235	148	109	101	141	86	128	119	73	183	189	184	187	191	104	159	168	127	222	194	145	181	168	206	125	155	128	122	176	175	82	156	217	83	134	109	42	165	132	180	130	70	223	128	129	216	202	106	108	97	90	172	133	82	154	216	117	117	200	71	131	47	118	115	156	77	288	218	122	128
PF00085.15	Thioredoxin	15	12	13	11	13	11	9	10	9	11	9	9	12	13	10	11	12	10	11	11	11	12	14	8	12	12	12	12	12	13	11	13	14	13	13	13	9	16	11	13	14	15	11	13	13	13	11	13	14	10	12	14	13	12	11	10	13	10	12	12	14	11	11	11	9	13	12	14	12	12	11	12	11	12	11	11	10	10	9	14	12	12	14	15	12	16	13	12	12	9	12	12	17	12	13	17	11	13
PF00089.21	Trypsin	2	0	4	4	1	1	2	1	1	1	1	1	0	3	2	2	3	2	4	2	2	3	2	2	3	2	3	3	5	2	2	3	2	2	2	2	0	2	2	1	4	3	2	2	1	1	2	0	1	1	4	2	2	2	0	2	1	1	1	2	3	1	3	1	0	2	1	1	4	1	3	2	2	1	1	1	2	1	1	2	3	0	3	3	1	0	2	0	1	2	0	0	2	1	2	3	1	1
PF00091.20	Tubulin	4	3	4	4	4	4	6	4	3	3	3	3	3	4	5	5	4	4	3	4	4	4	4	5	4	4	5	4	5	4	4	5	4	4	4	5	4	5	4	4	5	4	4	4	4	4	4	4	4	5	4	4	5	3	5	3	5	5	5	5	4	4	4	4	3	4	3	5	4	4	7	4	4	4	6	4	4	3	3	4	5	4	4	4	3	5	4	5	5	6	4	2	4	4	3	4	3	3
PF00092.23	VWA	4	3	3	2	5	4	3	3	5	4	5	4	3	3	4	4	6	12	3	3	4	4	6	4	4	4	4	4	5	3	4	2	2	3	4	3	6	6	6	6	4	7	3	6	11	4	5	7	3	4	4	4	6	4	3	3	6	3	7	7	4	4	3	5	0	4	3	4	4	4	5	6	4	6	6	3	4	2	3	5	4	4	2	3	2	5	6	4	4	7	3	3	6	3	4	11	3	3
PF00095.16	WAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00096.21	zf-C2H2	47	35	49	27	40	39	40	37	37	38	47	41	35	41	27	41	39	64	36	43	27	39	42	35	36	43	39	44	63	39	39	37	39	32	49	35	38	45	52	28	38	40	29	46	40	38	46	41	35	31	38	49	31	33	32	33	50	30	44	49	47	31	44	38	25	32	37	53	35	37	56	34	31	34	25	34	35	33	35	42	40	35	27	63	29	41	55	36	30	32	30	29	43	31	52	73	28	32
PF00097.20	zf-C3HC4	44	28	40	29	61	36	27	28	28	30	32	31	31	47	22	36	61	35	43	44	57	39	37	29	37	39	37	38	46	47	49	33	37	30	35	45	29	29	30	56	50	45	39	33	34	37	53	72	37	29	48	54	28	31	33	25	57	20	30	48	37	32	44	31	24	46	30	37	33	34	39	34	42	31	40	29	26	31	32	48	32	52	32	44	26	35	74	27	31	25	33	23	39	35	45	36	35	40
PF00098.18	zf-CCHC	4	5	4	7	7	3	6	5	4	2	3	3	2	3	22	5	4	0	1	4	7	2	9	6	1	1	10	1	2	2	6	3	4	4	1	5	3	8	4	4	2	7	6	3	3	3	6	5	4	6	2	3	7	5	2	1	9	6	9	5	2	1	4	4	5	4	3	4	1	7	3	16	14	3	8	3	17	1	1	3	11	8	5	4	4	3	5	2	3	6	6	7	5	3	2	0	6	6
